date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 26,home,Cerro Coso,W,10-2,10,2,8,win,20190126_llto,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2019,2018-19,Southwestern,southwestern,shaynecunningham1b87,Shayne Cunningham
Feb 1,home,Chaffey,L,4-2,4,2,2,win,20190201_b74d,2,0,0,,,,0,,,,,,,,0,0,,1,1,1.00,2,2019,2018-19,Southwestern,southwestern,shaynecunningham1b87,Shayne Cunningham
Feb 9,home,Victor Valley,L,14-11,14,11,3,win,20190209_ztcy,3,1,1,,1,,2,1,,,,,,,3,1,1,2,,,4,2019,2018-19,Southwestern,southwestern,shaynecunningham1b87,Shayne Cunningham
Feb 23,home,Long Beach,L,7-4,7,4,3,win,20190223_k9jp,2,0,2,,,,2,,,,,,,,2,0,,,,,2,2019,2018-19,Southwestern,southwestern,shaynecunningham1b87,Shayne Cunningham
Feb 26,home,San Diego City,W,5-4,5,4,1,win,20190226_dm67,4,0,1,,,,0,,1,,,,,,1,0,,1,1,1.00,4,2019,2018-19,Southwestern,southwestern,shaynecunningham1b87,Shayne Cunningham
Mar 9,home,Mt. San Jacinto,W,8-1,8,1,7,win,20190309_28lt,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2019,2018-19,Southwestern,southwestern,shaynecunningham1b87,Shayne Cunningham
Mar 14,home,Palomar,L,12-4,12,4,8,win,20190314_n1dx,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2019,2018-19,Southwestern,southwestern,shaynecunningham1b87,Shayne Cunningham
Mar 16,home,Palomar,L,8-0,8,0,8,win,20190316_b0n7,0,0,0,,,,0,1,,,,,,,0,0,,,,,1,2019,2018-19,Southwestern,southwestern,shaynecunningham1b87,Shayne Cunningham
Mar 22,home,San Diego Mesa,L,6-0,6,0,6,win,20190322_brmw,0,0,0,,,,0,1,,,,,,,0,0,,,,,1,2019,2018-19,Southwestern,southwestern,shaynecunningham1b87,Shayne Cunningham
Mar 28,home,Desert,W,7-6,7,6,1,win,20190328_itth,3,0,0,,,,0,,,,,,,,0,0,,1,2,0.50,3,2019,2018-19,Southwestern,southwestern,shaynecunningham1b87,Shayne Cunningham
