date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Marin,W,9-0,9,0,9,win,20230127_6psr,1,0,1,,,,0,,,,,,,,1,0,,,,,1,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Jan 28,home,Marin,W,10-2,10,2,8,win,20230128_et8w,0,0,0,,,,1,1,,1,,1,1,,0,0,,,1,,3,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Jan 31,home,Monterey Peninsula,W,4-3,4,3,1,win,20230131_004v,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Feb 3,home,Cabrillo,W,6-3,6,3,3,win,20230203_c862,1,0,0,,,,0,1,,,,,,,0,0,,,1,,2,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Feb 4,home,Monterey Peninsula,W,8-6,8,6,2,win,20230204_z321,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Feb 7,home,Hartnell,L,3-2,3,2,1,win,20230207_uqkn,1,1,0,,,,0,,1,,,,,,0,0,,,,,1,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Feb 16,home,Chabot,L,3-1,3,1,2,win,20230216_s5qz,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Feb 21,home,Chabot,L,23-4,23,4,19,win,20230221_1mqd,2,1,2,1,,,0,,,,,,,,3,1,,,,,2,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Mar 2,home,Sierra,W,5-3,5,3,2,win,20230302_uwtq,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Mar 8,home,Folsom Lake,L,3-2,3,2,1,win,20230308_dgg5,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Mar 15,home,Sacramento City,L,11-9,11,9,2,win,20230315_vyx4,2,2,1,,,,0,1,1,,,2,,,1,0,,,,,5,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Mar 16,home,Sacramento City,W,12-11,12,11,1,win,20230316_sp06,5,1,1,,,,2,,1,,,,,,1,0,,2,,,5,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Mar 17,home,Sacramento City,L,9-0,9,0,9,win,20230317_mtfg,2,0,1,,,,0,1,,,,,,,1,0,,1,,,3,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Mar 18,home,Folsom Lake,W,10-4,10,4,6,win,20230318_vgkn,2,2,0,,,,2,1,1,,,1,,,0,0,,1,,,4,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Mar 31,home,American River,W,11-5,11,5,6,win,20230331_lh4j,5,0,2,1,,,0,,2,1,,1,,,3,1,,1,,,6,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Apr 1,home,American River,W,4-3,4,3,1,win,20230401_4o7a,2,1,0,,,,0,2,,1,,,,,0,0,,2,,,4,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Apr 4,home,Modesto,L,11-10,11,10,1,win,20230404_r6b4,6,0,1,,,,0,,4,1,,,,,1,0,,,1,,6,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Apr 6,home,Modesto,L,6-5,6,5,1,win,20230406_bpp9,3,0,0,,,,0,1,1,,,,,,0,0,,1,1,1.00,4,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Apr 8,home,Modesto,L,8-0,8,0,8,win,20230408_xgk4,2,0,1,,,,0,1,1,,,,,,1,0,,,,,3,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Apr 11,home,San Joaquin Delta,L,12-2,12,2,10,win,20230411_ovmn,3,0,0,,,,0,,,,,,,,0,0,,,3,,3,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Apr 13,home,San Joaquin Delta,L,13-6,13,6,7,win,20230413_r525,2,1,0,,,,0,2,,,,,,,0,0,,1,1,1.00,4,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
Apr 14,home,San Joaquin Delta,L,18-6,18,6,12,win,20230414_fapm,2,0,1,,,,1,,1,,,,,1,1,0,,,,,3,2023,2022-23,Diablo Valley,diablovalley,brysonhorton9mjq,Bryson Horton
