date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Canyons,W,6-2,6,2,4,win,20230127_7x3k,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Saddleback,saddleback,makanitanakad9xl,Makani Tanaka
Jan 28,home,Canyons,L,12-1,12,1,11,win,20230128_17a2,3,0,1,,,,0,,2,,,,,,1,0,,,,,3,2023,2022-23,Saddleback,saddleback,makanitanakad9xl,Makani Tanaka
Feb 1,home,Grossmont,W,6-0,6,0,6,win,20230201_wydf,0,1,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Saddleback,saddleback,makanitanakad9xl,Makani Tanaka
Feb 3,home,Rio Hondo,W,20-4,20,4,16,win,20230203_ncvj,1,0,0,,,,1,,,,,,1,,0,0,,,2,,2,2023,2022-23,Saddleback,saddleback,makanitanakad9xl,Makani Tanaka
Feb 9,home,Southwestern,W,8-1,8,1,7,win,20230209_sszk,3,0,0,,,,0,1,2,,,,,,0,0,,,1,,4,2023,2022-23,Saddleback,saddleback,makanitanakad9xl,Makani Tanaka
Feb 15,home,Southwestern,W,8-4,8,4,4,win,20230215_0772,4,0,1,1,,,1,,1,,,1,,,2,1,1,2,,,5,2023,2022-23,Saddleback,saddleback,makanitanakad9xl,Makani Tanaka
Feb 16,home,Cuesta,L,4-3,4,3,1,win,20230216_p7e1,2,1,0,,,,0,1,1,,,,,,0,0,,1,,,3,2023,2022-23,Saddleback,saddleback,makanitanakad9xl,Makani Tanaka
Feb 17,home,Cuesta,W,8-3,8,3,5,win,20230217_d621,0,1,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Saddleback,saddleback,makanitanakad9xl,Makani Tanaka
Feb 21,home,San Diego Mesa,W,13-5,13,5,8,win,20230221_uhbw,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2023,2022-23,Saddleback,saddleback,makanitanakad9xl,Makani Tanaka
Mar 11,home,Fullerton,W,14-0,14,0,14,win,20230311_75sf,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2023,2022-23,Saddleback,saddleback,makanitanakad9xl,Makani Tanaka
