date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Feb 2,home,LA Pierce,W,19-6,19,6,13,win,20230202_eopb,6,2,2,,,,0,,,,,,,,2,0,,3,1,3.00,6,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Feb 3,home,LA Valley,W,9-4,9,4,5,win,20230203_7goc,4,1,1,,,,1,,,,,1,,,1,0,,,3,,5,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Feb 4,home,San Joaquin Delta,L,12-8,12,8,4,win,20230204_el7y,4,2,2,,,,1,1,1,,,,,,2,0,,,,,5,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Feb 9,home,Santa Ana,W,5-4,5,4,1,win,20230209_u9ax,6,0,0,,,,0,,4,,,1,,,0,0,1,1,1,1.00,7,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Feb 14,home,Desert,L,17-3,17,3,14,win,20230214_fgrv,5,0,1,,,,0,,1,,,,,,1,0,,3,,,5,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Feb 17,home,LA Pierce,L,7-6,7,6,1,win,20230217_nb5r,2,0,0,,,,1,1,,,,,,,0,0,1,1,1,1.00,3,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Feb 21,home,Mt. San Antonio,W,10-7,10,7,3,win,20230221_9wjj,3,1,2,,,,1,2,1,1,,,,,2,0,,,,,5,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Mar 2,home,Rio Hondo,L,6-4,6,4,2,win,20230302_d4gy,5,0,0,,,,0,,3,,,,,,0,0,,2,,,5,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Mar 4,home,Rio Hondo,L,4-2,4,2,2,win,20230304_ev78,3,0,0,,,,2,,1,,,,1,,0,0,,2,1,2.00,4,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Mar 7,home,Pasadena City,L,5-3,5,3,2,win,20230307_5g8z,3,0,0,,,,1,,,,,,1,,0,0,,1,3,0.33,4,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Mar 9,home,Pasadena City,L,15-5,15,5,10,win,20230309_4vbt,2,0,0,,,,0,,,,,,,,0,0,,2,,,2,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Mar 16,home,LA Harbor,W,9-7,9,7,2,win,20230316_uuw3,2,0,2,1,,,0,,,,,1,,,3,1,,,,,3,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Mar 17,home,LA Harbor,W,12-3,12,3,9,win,20230317_mxkf,2,2,1,,,,2,1,,,,,1,,1,0,,1,1,1.00,4,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Mar 18,home,LA Harbor,L,5-2,5,2,3,win,20230318_avpy,4,0,0,,,,0,,1,,,,,,0,0,,,3,,4,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Mar 25,home,Compton,L,5-1,5,1,4,win,20230325_xm17,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Mar 27,home,Mt. San Antonio,W,11-4,11,4,7,win,20230327_rh1v,5,0,2,2,,,3,,3,,,,,,4,2,,,,,5,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Mar 28,home,East Los Angeles,L,6-4,6,4,2,win,20230328_1l8n,3,0,0,,,,0,1,1,1,,,,,0,0,,2,,,4,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Apr 5,home,Fresno City,L,3-2,3,2,1,win,20230405_slmh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Apr 6,home,Merced,L,12-6,12,6,6,win,20230406_9iik,3,1,2,,,,2,,,,,1,,,2,0,,,,,4,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Apr 7,home,Allan Hancock,L,8-2,8,2,6,win,20230407_86cn,3,0,1,,,,0,,1,,,,,,1,0,,1,,,3,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Apr 12,home,Chaffey,L,6-3,6,3,3,win,20230412_42fx,4,0,1,1,,,0,,2,,,,,,2,1,,1,,,4,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Apr 13,home,El Camino,L,1-0,1,0,1,win,20230413_hlkn,3,0,0,,,,0,,1,,,,,1,0,0,,2,1,2.00,4,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Apr 27,home,Long Beach,L,6-5,6,5,1,win,20230427_f2bq,2,1,1,,,,0,1,,,,,,1,1,0,,1,,,4,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
Apr 28,home,Long Beach,L,6-2,6,2,4,win,20230428_0szk,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2023,2022-23,Cerritos,cerritos,isaacvegazfy5,Isaac Vega
