date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 31,home,Pasadena,L,9-6,9,6,3,win,20140131_6b6f,2,0,0,,,,0,1,,,,,,,0,0,,1,1,1.00,3,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Feb 4,home,Mt. San Jacinto,L,11-2,11,2,9,win,20140204_cugm,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Feb 15,home,Santa Barbara,L,8-0,8,0,8,win,20140215_wnim,3,0,0,,,,0,,,,,,,,0,0,,1,2,0.50,3,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Feb 18,home,Mt. San Jacinto,W,3-1,3,1,2,win,20140218_acpa,3,0,1,1,,,1,,1,,,,,,2,1,,1,,,3,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Feb 22,home,Porterville,L,12-2,12,2,10,win,20140222_kthf,0,1,0,,,,0,1,,,,,,,0,0,,,,,1,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Mar 4,home,LA Mission,L,9-6,9,6,3,win,20140304_l0zu,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Mar 6,home,Canyons,L,6-1,6,1,5,win,20140306_scjy,4,0,0,,,,0,,3,,,,,,0,0,,1,,,4,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Mar 8,home,Glendale,L,12-3,12,3,9,win,20140308_hyip,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Mar 13,home,Bakersfield,L,7-5,7,5,2,win,20140313_u6tk,4,0,0,,,,0,,,,,,,,0,0,,3,1,3.00,4,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Mar 20,home,LA Mission,L,15-0,15,0,15,win,20140320_k4ji,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Mar 22,home,LA Mission,W,8-3,8,3,5,win,20140322_kftj,1,0,0,,,,0,1,1,,,,,1,0,0,,1,,,3,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Apr 3,home,Citrus,L,7-2,7,2,5,win,20140403_1xby,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Apr 5,home,Citrus,W,9-6,9,6,3,win,20140405_lygp,0,1,0,,,,0,,,1,,,,,0,0,,,,,0,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Apr 10,home,Bakersfield,L,19-5,19,5,14,win,20140410_vjby,1,0,1,,,,2,1,,,,,,,1,0,,,,,2,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Apr 11,home,LA Valley,L,9-5,9,5,4,win,20140411_0aqq,4,0,1,,,,0,,,,,,,,1,0,,1,2,0.50,4,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Apr 14,home,El Camino,L,11-6,11,6,5,win,20140414_d8fm,4,0,1,,,,1,1,1,,,,,,1,0,,1,1,1.00,5,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Apr 15,home,Long Beach,L,10-1,10,1,9,win,20140415_6no7,4,0,1,,,,0,,,,,,,,1,0,,,3,,4,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Apr 16,home,El Camino,L,16-4,16,4,12,win,20140416_r32t,4,0,1,1,,,0,,2,,,,,,2,1,,,1,,4,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Apr 17,home,Long Beach,L,7-4,7,4,3,win,20140417_xvqt,4,1,0,,,,0,,,,,,,,0,0,,3,,,4,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Apr 24,home,West LA,W,13-4,13,4,9,win,20140424_1kfz,0,0,0,,,,0,1,,,,,,,0,0,,,,,1,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
Apr 25,home,West LA,L,8-5,8,5,3,win,20140425_s7ct,0,0,0,,,,0,,,,,1,,,0,0,,,,,1,2014,,Antelope Valley,antelopevalley,carlosochoarqdo,Carlos Ochoa
