date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 28,home,Fresno City,L,3-1,3,1,2,win,20220128_h76y,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Jan 30,home,Fresno City,W,6-4,6,4,2,win,,,,,,,,,,,,,,,,,,,,,,,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 3,home,Butte,W,15-4,15,4,11,win,,,,,,,,,,,,,,,,,,,,,,,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 4,home,Butte,W,18-6,18,6,12,win,,,,,,,,,,,,,,,,,,,,,,,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 5,home,Butte,W,7-0,7,0,7,win,20220205_oow2,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 8,home,Solano,W,16-2,16,2,14,win,,,,,,,,,,,,,,,,,,,,,,,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 10,home,Shasta,W,13-0,13,0,13,win,,,,,,,,,,,,,,,,,,,,,,,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 11,home,Shasta,W,5-1,5,1,4,win,20220211_c1sk,4,1,0,,,,0,,,,,,,,0,0,,1,2,0.50,4,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 12,home,Shasta,W,10-6,10,6,4,win,20220212_5txq,4,0,1,,,,0,,,1,,,,,1,0,,2,1,2.00,4,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 15,home,Solano,W,4-3,4,3,1,win,20220215_gvjh,0,1,0,,,,0,,,,,1,,,0,0,,,,,1,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 17,home,Lassen,W,6-3,6,3,3,win,20220217_dorw,4,2,2,1,,,0,,1,,,,,1,3,1,,1,,,5,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 18,home,Lassen,L,2-1,2,1,1,win,20220218_u0xa,3,0,0,,,,0,,3,,,,,,0,0,,,,,3,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Feb 18,home,Lassen,W,9-4,9,4,5,win,,,,,,,,,,,,,,,,,,,,,,,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Mar 3,home,Monterey Peninsula,W,5-0,5,0,5,win,,,,,,,,,,,,,,,,,,,,,,,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Mar 5,home,De Anza,W,7-3,7,3,4,win,20220305_4bf5,4,0,0,,,,0,,2,,,,,,0,0,1,1,1,1.00,4,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Mar 8,home,Canada,W,13-1,13,1,12,win,20220308_chu5,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
Mar 10,home,Canada,W,7-3,7,3,4,win,20220310_tik7,0,1,0,,,,0,,,,,,,,0,0,,,,,0,2022,,Skyline,skyline,andrewroy9u54,Andrew Roy
