date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Feb 3,home,San Mateo,W,8-4,8,4,4,win,20120203_hwzz,5,1,1,1,,,0,,2,,,,,,2,1,,1,1,1.00,5,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Feb 4,home,Ohlone,W,11-0,11,0,11,win,20120204_rmei,5,0,0,,,,0,,1,,,,,,0,0,,2,1,2.00,5,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Feb 8,home,Yuba,W,12-4,12,4,8,win,20120208_gfim,1,0,1,,,,1,,,,,,,,1,0,,,,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Feb 11,home,Feather River,W,9-1,9,1,8,win,20120211_rjlp,3,0,0,,,,0,,2,,,,,,0,0,,,,,3,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Feb 16,home,Porterville,W,15-3,15,3,12,win,20120216_u5ql,4,1,2,,,,2,,1,,,,,,2,0,,,1,,4,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Feb 18,home,Solano,W,8-3,8,3,5,win,20120218_gqnk,4,1,0,,,,0,1,,,,,,,0,0,,2,2,1.00,5,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Feb 23,home,Chabot,L,10-9,10,9,1,win,20120223_scap,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Feb 25,home,Chabot,W,9-4,9,4,5,win,20120225_jkwy,0,0,0,,,,0,1,,,,,,,0,0,,,,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Mar 1,home,Taft,T,8-8,8,8,0,tie,20120301_4hm7,2,1,1,,,1,2,,,,,,,,4,1,,,1,,2,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Mar 6,home,Diablo Valley,W,9-5,9,5,4,win,20120306_1bqe,4,0,2,1,,,0,,1,,,,,,3,1,,1,,,4,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Mar 8,home,Diablo Valley,W,2-0,2,0,2,win,20120308_orxj,3,0,0,,,,0,,,,,1,,,0,0,,1,1,1.00,4,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Mar 10,home,Diablo Valley,L,12-4,12,4,8,win,20120310_dmj8,3,1,1,1,,,0,,1,,,,,,2,1,,,1,,3,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Mar 17,home,Sacramento City,W,7-1,7,1,6,win,20120317_8nue,4,1,2,1,,,1,1,,,1,,,,3,1,,2,,,5,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Mar 17,home,Sacramento City,W,4-1,4,1,3,win,20120317_gzlt,4,0,0,,,,0,,3,,,,,,0,0,,1,,,4,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Mar 21,home,Sacramento City,L,16-2,16,2,14,win,20120321_bmfe,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Mar 22,home,Cosumnes River,L,3-2,3,2,1,win,20120322_blfi,4,0,0,,,,0,,1,,,,,,0,0,,2,1,2.00,4,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Mar 29,home,Modesto,L,6-5,6,5,1,win,20120329_rpih,1,0,1,1,,,0,,,,,,,,2,1,,,,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Apr 1,home,Modesto,L,4-3,4,3,1,win,20120401_27in,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Apr 5,home,Santa Rosa,W,9-0,9,0,9,win,20120405_3rly,3,0,0,,,,0,,3,,,,,,0,0,,,,,3,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Apr 7,home,Santa Rosa,L,2-1,2,1,1,win,20120407_jkqm,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Apr 10,home,San Joaquin  Delta,L,17-8,17,8,9,win,20120410_gkkp,0,1,0,,,,0,1,,,,,,,0,0,,,,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Apr 12,home,San Joaquin  Delta,W,10-7,10,7,3,win,20120412_su1o,0,0,0,,,,0,1,,1,,,,,0,0,,,,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
Apr 14,home,San Joaquin  Delta,L,4-1,4,1,3,win,20120414_lu86,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
May 6,home,Laney,W,10-9,10,9,1,win,20120506_gtir,3,0,0,,,,0,1,2,,,,,,0,0,,,1,,4,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
May 18,home,Orange Coast,W,4-0,4,0,4,win,20120518_z92j,3,0,0,,,,0,,2,,,,,,0,0,,,1,,3,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
May 19,home,Rio Hondo,L,4-1,4,1,3,win,20120519_b5ul,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2012,2011-12,Sierra,sierra,jimmyjacklb4l,Jimmy Jack
