date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Pasadena City,L,15-5,15,5,10,win,20170127_kpuy,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Jan 28,home,Pasadena City,L,10-3,10,3,7,win,20170128_myl2,2,1,1,1,,,0,,,,,,,,2,1,,,1,,2,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Feb 2,home,Long Beach,L,3-1,3,1,2,win,20170202_g2ur,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Feb 4,home,Riverside,L,6-1,6,1,5,win,20170204_domv,2,0,0,,,,0,,,,,1,,,0,0,,1,1,1.00,3,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Feb 10,home,Desert,W,13-2,13,2,11,win,20170210_u1hh,4,1,2,1,,,2,,,,,,1,,3,1,,,3,,5,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Feb 14,home,San Diego City,L,5-4,5,4,1,win,20170214_hkbi,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Feb 15,home,Irvine Valley,L,8-7,8,7,1,win,20170215_6i91,5,1,1,,,,0,,1,,,,,,1,0,,,3,,5,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Feb 16,home,Santa Barbara,L,12-0,12,0,12,win,20170216_bwuf,2,0,1,,,,0,1,,,,,,,1,0,,,1,,3,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Feb 23,home,Imperial Valley,W,21-0,21,0,21,win,20170223_qptx,3,4,3,,1,,4,2,,,,,,,5,1,,,,,5,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Feb 24,home,Long Beach,L,14-3,14,3,11,win,20170224_vwhl,1,0,1,,,,0,,,,,,,,1,0,,,,,1,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Feb 28,home,LA Mission,L,15-6,15,6,9,win,20170228_ajf8,1,0,0,,,,0,,,,,1,,,0,0,,,1,,2,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Mar 2,home,LA Pierce,L,10-1,10,1,9,win,20170302_esvx,3,0,0,,,,0,,2,,,,,,0,0,,,1,,3,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
Mar 4,home,Bakersfield,W,9-8,9,8,1,win,20170304_alye,3,0,2,,,,1,1,,,,,,,2,0,,1,,,4,2017,2016-17,West LA,westla,johnpeukertwef7,John Peukert
