date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Mar 12,home,Napa Valley,W,21-2,21,2,19,win,20200312_iffx,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Mar 10,home,Napa Valley,W,13-2,13,2,11,win,20200310_crtn,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Mar 6,home,Contra Costa,L,7-5,7,5,2,win,20200306_7zfy,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Mar 5,home,Yuba,L,6-3,6,3,3,win,20200305_q3r9,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Mar 3,home,Los Medanos,W,10-1,10,1,9,win,20200303_2ecw,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Feb 22,home,San Mateo,W,6-0,6,0,6,win,20200222_0edk,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Feb 20,home,San Mateo,W,8-4,8,4,4,win,20200220_2fks,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Feb 18,home,San Mateo,W,12-4,12,4,8,win,20200218_uioj,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Feb 14,home,Lassen,L,3-1,3,1,2,win,20200214_zsct,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Feb 13,home,Mission,W,5-3,5,3,2,win,20200213_0frz,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Feb 13,home,Lassen,W,10-2,10,2,8,win,20200213_0u06,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Feb 7,home,West Valley,W,7-4,7,4,3,win,20200207_tqb7,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Feb 5,home,Folsom Lake,L,10-4,10,4,6,win,20200205_59da,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Feb 4,home,Santa Rosa,L,9-5,9,5,4,win,20200204_rkf8,1,0,1,0,3.1,4,4,2,5.40,2,2,,2020,,Marin,marin,trentfreevva1,Trent Free
Feb 1,home,Sequoias,L,11-1,11,1,10,win,20200201_ol63,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Jan 31,home,Sequoias,L,9-3,9,3,6,win,20200131_clcp,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Jan 30,home,Sequoias,L,5-4,5,4,1,win,20200130_y9su,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
Jan 28,home,Cabrillo,L,4-2,4,2,2,win,20200128_fvvk,1,0,1,0,3.2,4,3,3,7.36,5,2,,2020,,Marin,marin,trentfreevva1,Trent Free
Jan 24,home,Sierra,W,3-2,3,2,1,win,20200124_s6wv,0,0,0,0,0.0,,,,0.00,,,,2020,,Marin,marin,trentfreevva1,Trent Free
