date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Apr 24,home,Diablo Valley,W,9-8,9,8,1,win,20150424_ww5s,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Apr 23,home,Diablo Valley,L,15-7,15,7,8,win,20150423_2ccc,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Apr 21,home,Diablo Valley,W,4-1,4,1,3,win,20150421_s4y3,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Apr 17,home,Sierra,L,4-2,4,2,2,win,20150417_xe75,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Apr 8,home,Santa Rosa,L,8-2,8,2,6,win,20150408_ufu5,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Apr 2,home,Modesto,L,6-0,6,0,6,win,20150402_u2dl,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Mar 26,home,Cosumnes River,L,10-3,10,3,7,win,20150326_faul,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Mar 21,home,San Joaquin  Delta,L,5-4,5,4,1,win,20150321_vecm,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Mar 19,home,San Joaquin  Delta,L,10-1,10,1,9,win,20150319_c7n5,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Mar 14,home,Sacramento City,L,13-5,13,5,8,win,20150314_ts1b,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Mar 12,home,Sacramento City,W,12-1,12,1,11,win,20150312_u2ru,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Mar 6,home,Diablo Valley,W,4-3,4,3,1,win,20150306_ptlm,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Mar 5,home,Cosumnes River,L,8-2,8,2,6,win,20150305_ud0a,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Feb 21,home,Laney,W,10-4,10,4,6,win,20150221_z3ln,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Feb 18,home,Shasta,W,17-6,17,6,11,win,20150218_ppf0,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Feb 17,home,Mission,W,10-0,10,0,10,win,20150217_ngr8,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Feb 14,home,Hartnell,L,12-1,12,1,11,win,20150214_v1lx,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
Feb 4,home,Shasta,W,9-1,9,1,8,win,20150204_f3vd,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,American River,americanriver,justinjordane8iv,Justin Jordan
