date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Apr 24,home,Hartnell,L,7-6,7,6,1,win,,,,,,,,,,,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
Apr 22,home,Cabrillo,L,7-5,7,5,2,win,20140422_h6r8,0,0,0,0,0.0,,,,0.00,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
Apr 19,home,Skyline,W,17-8,17,8,9,win,,,,,,,,,,,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
Apr 17,home,Mission,L,13-2,13,2,11,win,20140417_fq0j,0,0,0,0,0.0,,,,0.00,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
Apr 15,home,Canada,L,6-5,6,5,1,win,20140415_vpnc,0,0,0,0,0.0,,,,0.00,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
Apr 12,home,Monterey,L,5-3,5,3,2,win,,,,,,,,,,,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
Apr 10,home,Ohlone,L,5-1,5,1,4,win,20140410_iido,0,0,0,0,0.0,,,,0.00,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
Apr 8,home,De Anza,W,3-2,3,2,1,win,,,,,,,,,,,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
Apr 5,home,Ohlone,L,11-1,11,1,10,win,,,,,,,,,,,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
Apr 3,home,Skyline,L,4-3,4,3,1,win,,,,,,,,,,,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
Apr 2,home,Chabot,L,13-7,13,7,6,win,20140402_eigo,0,0,0,0,0.0,,,,0.00,,,,2014,,Gavilan,gavilan,javierjimenez3zbs,Javier Jimenez
