date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
May 29,home,Sequoias,L,7-4,7,4,3,win,20210529_rbuf,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
May 22,home,Merced,L,9-3,9,3,6,win,20210522_fuaz,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
May 18,home,Mt. San Jacinto,L,15-5,15,5,10,win,20210518_g3m3,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
May 11,home,Sequoias,L,20-8,20,8,12,win,20210511_k8ha,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
May 8,home,Fresno City,L,5-4,5,4,1,win,20210508_tk5g,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
May 5,home,Merced,W,24-2,24,2,22,win,20210505_8q4y,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
Apr 28,home,Taft,W,19-5,19,5,14,win,20210428_tb82,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
Apr 24,home,Antelope Valley,W,18-14,18,14,4,win,20210424_9lyd,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
Apr 20,home,Antelope Valley,W,23-5,23,5,18,win,20210420_v0py,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
Apr 20,home,Antelope Valley,W,32-6,32,6,26,win,20210420_q9gv,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
Apr 14,home,Reedley,L,16-2,16,2,14,win,20210414_oroe,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
Apr 13,home,Reedley,L,21-12,21,12,9,win,20210413_4ime,0,0,0,0,0.0,,,,0.00,,,,2021,2020-21,Cerro Coso,cerrocoso,ryanbrennan6taz,Ryan Brennan
