date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Mar 1,home,Folsom Lake,L,8-1,8,1,7,win,,,,,,,,,,,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Feb 27,home,Skyline,W,6-3,6,3,3,win,,,,,,,,,,,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Feb 25,home,Skyline,W,8-4,8,4,4,win,,,,,,,,,,,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Feb 23,home,West Valley,W,12-3,12,3,9,win,,,,,,,,,,,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Feb 19,home,Diablo Valley,W,7-1,7,1,6,win,,,,,,,,,,,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Feb 16,home,Diablo Valley,L,4-2,4,2,2,win,,,,,,,,,,,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Feb 13,home,Santa Rosa,L,15-1,15,1,14,win,20160213_zqgp,0,0,0,0,0.0,,,,0.00,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Feb 11,home,Santa Rosa,L,15-0,15,0,15,win,20160211_i1zw,0,0,0,0,0.0,,,,0.00,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Feb 6,home,Fresno City,L,7-3,7,3,4,win,,,,,,,,,,,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Feb 6,home,Fresno City,W,11-3,11,3,8,win,,,,,,,,,,,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Feb 5,home,Fresno City,L,6-1,6,1,5,win,20160205_6n5p,0,0,0,0,0.0,,,,0.00,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Jan 29,home,Modesto,W,11-3,11,3,8,win,,,,,,,,,,,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
Jan 28,home,Modesto,L,4-3,4,3,1,win,,,,,,,,,,,,,,2016,,Los Medanos,losmedanos,ryanmathiaruvf,Ryan Mathia
