date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Mar 24,home,Grossmont,W,3-2,3,2,1,win,20120324_i0km,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Mar 22,home,Grossmont,L,6-5,6,5,1,win,20120322_wr8f,1,0,0,0,8.0,9,5,5,5.63,2,5,2,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Mar 20,home,Grossmont,W,11-10,11,10,1,win,20120320_zek0,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Mar 15,home,Palomar,W,5-4,5,4,1,win,20120315_80wo,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Mar 15,home,Palomar,W,4-1,4,1,3,win,20120315_0zzg,1,1,0,0,6.0,2,0,0,0.00,3,4,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Mar 13,home,Palomar,L,10-4,10,4,6,win,20120313_bgs3,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Mar 8,home,San Diego City,L,12-5,12,5,7,win,20120308_yort,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Mar 6,home,San Diego Mesa,L,4-3,4,3,1,win,20120306_og3e,1,0,0,0,7.0,7,2,2,2.57,1,9,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Mar 3,home,Southwestern,W,10-4,10,4,6,win,20120303_lpob,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Mar 1,home,Grossmont,L,9-5,9,5,4,win,20120301_jxja,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Feb 29,home,Palomar,L,7-5,7,5,2,win,20120229_rjkr,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Feb 24,home,El Camino,L,16-3,16,3,13,win,20120224_dr3n,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Feb 23,home,Compton,L,13-5,13,5,8,win,20120223_t30s,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Feb 21,home,West LA,W,8-2,8,2,6,win,20120221_ao5e,1,1,0,0,7.0,5,0,0,0.00,0,11,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Feb 17,home,San Bernardino,L,7-5,7,5,2,win,20120217_efq5,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Feb 14,home,Compton,W,13-12,13,12,1,win,20120214_ra9v,1,0,0,0,3.0,6,8,6,18.00,2,3,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Feb 10,home,Mt. San Jacinto,W,9-4,9,4,5,win,20120210_fnn1,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Feb 9,home,Antelope Valley,W,7-5,7,5,2,win,20120209_z9re,0,0,0,0,2.0,3,1,1,4.50,1,2,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Feb 7,home,Barstow,L,5-3,5,3,2,win,20120207_ks6n,0,0,0,0,0.0,,,,0.00,,,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
Feb 3,home,Barstow,W,10-4,10,4,6,win,20120203_1oyz,1,1,0,0,5.0,2,1,0,0.00,2,10,,2012,2011-12,Imperial Valley,imperialvalley,esaumadrigalhwc2,Esau Madrigal
