date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Apr 29,home,Solano,L,13-1,13,1,12,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 28,home,Marin,L,7-4,7,4,3,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 23,home,Yuba,L,9-5,9,5,4,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 21,home,Folsom Lake,L,6-5,6,5,1,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 19,home,Los Medanos,L,13-0,13,0,13,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 16,home,Napa,W,8-3,8,3,5,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 14,home,Contra Costa,L,17-10,17,10,7,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 12,home,Laney,L,4-2,4,2,2,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 11,home,Solano,W,5-0,5,0,5,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 7,home,Solano,L,8-5,8,5,3,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 5,home,Marin,L,9-4,9,4,5,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 4,home,Napa,W,12-5,12,5,7,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Apr 2,home,Marin,L,6-1,6,1,5,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 28,home,Laney,L,20-0,20,0,20,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 25,home,Yuba,L,5-2,5,2,3,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 24,home,Yuba,L,5-1,5,1,4,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 23,home,Napa,L,7-6,7,6,1,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 22,home,Folsom Lake,L,7-1,7,1,6,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 19,home,Folsom Lake,L,9-1,9,1,8,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 17,home,Los Medanos,L,16-4,16,4,12,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 16,home,Contra Costa,W,2-1,2,1,1,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 15,home,Los Medanos,L,7-1,7,1,6,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 8,home,Contra Costa,W,5-4,5,4,1,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Mar 1,home,Laney,L,7-6,7,6,1,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Feb 23,home,Diablo Valley,W,10-9,10,9,1,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Feb 21,home,Siskiyous,L,14-4,14,4,10,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Feb 21,home,Siskiyous,W,15-3,15,3,12,win,20160221_ptub,0,0,0,0,0.0,,,,0.00,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Feb 13,home,Butte,L,7-1,7,1,6,win,20160213_vqb5,0,0,0,0,0.0,,,,0.00,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Feb 13,home,Butte,L,15-6,15,6,9,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Feb 12,home,Butte,L,5-1,5,1,4,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Feb 6,home,Gavilan,L,5-3,5,3,2,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Feb 5,home,Gavilan,L,4-1,4,1,3,win,20160205_kvxs,0,0,0,0,0.0,,,,0.00,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Feb 4,home,Diablo Valley,L,4-0,4,0,4,win,20160204_ttbs,0,0,0,0,0.0,,,,0.00,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Jan 28,home,Redwoods,,,,,12,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
Jan 28,home,Redwoods,,,,,12,win,,,,,,,,,,,,,,2016,,Mendocino,mendocino,zackmadrigale7fi,Zack Madrigal
