season,cccaa_season,team,team_id,player_id,player_name,App,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2017,2016-17,Allan Hancock,allanhancock,brandondavis45lz,Brandon Davis,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,brendangomez955x,Brendan Gomez,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,briandowellffb3,Brian Dowell,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,chadjonesiiao,Chad Jones,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,christaitagueged9,Chris Taitague,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,cordellbowier6nh,Cordell Bowie,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,danielcuriel03n0,Daniel Curiel,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,dylanmaiden3d8i,Dylan Maiden,30,0.0,3.0,1.0,1.0,23.999,30.0,16.0,14.0,8.0,18.0,2.0,0.75,5.25,96.0,1.583,11.25,0.75,3.0,6.75,2.25,6.0
2017,2016-17,Allan Hancock,allanhancock,jeremyterronesuyw4,Jeremy Terrones,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,joshharmonayba2x,Josh Harmonay,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,kylevontillowfm79,Kyle Von tillow,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,nashackermanjnp9,Nash Ackerman,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,natealcantarxe9i,Nate Alcantar,18,1.0,0.0,2.0,0.0,18.667,27.0,20.0,19.0,8.0,6.0,1.0,0.0,9.161,55.0,1.875,13.018,0.482,3.857,2.893,0.75,9.643
2017,2016-17,Allan Hancock,allanhancock,quinntinperezypmb,Quinntin Perez,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,ryanpeinado2l8m,Ryan Peinado,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,tommynguyentwtq,Tommy Nguyen,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,walkerarmstrongpa7e,Walker Armstrong,40,12.0,8.0,5.0,1.0,100.666,89.0,38.0,24.0,25.0,81.0,3.0,0.615,2.146,235.0,1.132,7.957,0.268,2.235,7.242,3.24,3.397
2017,2016-17,Allan Hancock,allanhancock,wyattcollpiwj,Wyatt Coll,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Allan Hancock,allanhancock,wyattstandley62ts,Wyatt Standley,17,2.0,1.0,0.0,1.0,24.334,16.0,17.0,14.0,22.0,22.0,2.0,1.0,5.178,97.0,1.562,5.918,0.74,8.137,8.137,1.0,6.287
2017,2016-17,American River,americanriver,alexdodd6j70,Alex Dodd,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,andrewfuentes6e28,Andrew Fuentes,29,1.0,1.0,2.0,0.0,12.0,13.0,10.0,10.0,11.0,8.0,0.0,0.333,7.5,67.0,2.0,9.75,0.0,8.25,6.0,0.727,7.5
2017,2016-17,American River,americanriver,blakespencermxoa,Blake Spencer,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,cadeparkerip95,Cade Parker,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,edgargallardowdsb,Edgar Gallardo,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,joaquinsequeiraxa0h,Joaquin Sequeira,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,justinbejaranoxtjl,Justin Bejarano,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,justinhanlino014,Justin Hanlin,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,mattclarket8a7,Matt Clarke,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,nickhuddlestungsvn,Nick Huddlestun,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,oscarholmbergmidb,Oscar Holmberg,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,ryanburdickwyt9,Ryan Burdick,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,scottyhenrichsc23e,Scotty Henrichs,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,sonnyledfordgk9t,Sonny Ledford,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,tylerswank3pgl,Tyler Swank,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,American River,americanriver,willfloydxrnf,Will Floyd,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,adriangomezcljd,Adrian Gomez,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,andrewwilsonqyq1,Andrew Wilson,15,8.0,0.0,4.0,1.0,55.665,90.0,52.0,39.0,19.0,13.0,3.0,0.0,6.306,80.0,1.958,14.551,0.485,3.072,2.102,0.684,8.407
2017,2016-17,Antelope Valley,antelopevalley,anthonyparisitsb5,Anthony Parisi,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,brandonotisy5ur,Brandon Otis,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,danielgomezkv3o,Daniel Gomez,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,daultonstantonhycs,Daulton Stanton,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,ethanavantbqbq,Ethan Avant,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,frankielinstromss8i,Frankie Linstrom,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,gabrielcurtier5t9x,Gabriel Curtier,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,griffinhagenyszs,Griffin Hagen,29,12.0,2.0,7.0,0.0,64.667,72.0,51.0,42.0,22.0,50.0,4.0,0.222,5.845,86.0,1.454,10.021,0.557,3.062,6.959,2.273,7.098
2017,2016-17,Antelope Valley,antelopevalley,iannelsonb57g,Ian Nelson,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,johnreyesytrw,John Reyes,29,0.0,0.0,0.0,0.0,5.001,14.0,10.0,9.0,5.0,2.0,1.0,,16.197,31.0,3.799,25.195,1.8,8.998,3.599,0.4,17.996
2017,2016-17,Antelope Valley,antelopevalley,johnserratoxxto,John Serrato,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,jorgevillalobosr8ee,Jorge Villalobos,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,josephcochrantccp,Joseph Cochran,37,0.0,0.0,0.0,0.0,3.667,4.0,2.0,2.0,2.0,1.0,0.0,,4.909,103.0,1.636,9.817,0.0,4.909,2.454,0.5,4.909
2017,2016-17,Antelope Valley,antelopevalley,justinrodrigueszm2t,Justin Rodrigues,18,0.0,1.0,0.0,1.0,24.666,48.0,42.0,26.0,11.0,11.0,3.0,1.0,9.487,53.0,2.392,17.514,1.095,4.014,4.014,1.0,15.325
2017,2016-17,Antelope Valley,antelopevalley,kylelathropr3xa,Kyle Lathrop,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,michaelbehenlwyl,Michael Behen,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2017,2016-17,Antelope Valley,antelopevalley,trevormorrisonm4m0,Trevor Morrison,22,0.0,0.0,0.0,0.0,5.9990000000000006,13.0,10.0,7.0,6.0,4.0,0.0,,10.502,48.0,3.167,19.503,0.0,9.002,6.001,0.667,15.003
