date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Merced,L,10-8,10,8,2,win,,,,,,,,,,,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Jan 30,home,San Mateo,L,12-5,12,5,7,win,,,,,,,,,,,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 1,home,San Mateo,L,11-0,11,0,11,win,20180201_v4p6,0,0,0,0,2.1,4,,,0.00,1,3,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 3,home,San Mateo,L,7-5,7,5,2,win,20180203_j3in,0,0,0,0,0.0,,,,0.00,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 6,home,Skyline,W,6-4,6,4,2,win,,,,,,,,,,,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 8,home,Sierra,L,11-6,11,6,5,win,20180208_sfwa,0,0,0,0,0.0,,,,0.00,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 10,home,Sierra,L,13-1,13,1,12,win,20180210_0aal,0,0,0,0,1.1,2,2,2,13.50,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 13,home,Skyline,W,11-7,11,7,4,win,20180213_h0z3,0,0,0,0,0.0,,,,0.00,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 17,home,Santa Rosa,L,8-2,8,2,6,win,20180217_0pg9,0,0,0,0,0.0,,,,0.00,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 20,home,American River,W,17-5,17,5,12,win,,,,,,,,,,,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 22,home,Chabot,W,13-10,13,10,3,win,,,,,,,,,,,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 23,home,American River,L,5-4,5,4,1,win,20180223_3mtg,0,0,1,0,4.0,5,4,2,4.50,3,3,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 24,home,Chabot,L,10-3,10,3,7,win,,,,,,,,,,,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Feb 27,home,Merced,L,16-13,16,13,3,win,20180227_gc8w,0,0,0,0,1.2,1,4,4,21.60,2,2,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Mar 1,home,Santa Rosa,,,,,3,win,,,,,,,,,,,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Mar 3,home,Santa Rosa,L,7-3,7,3,4,win,20180303_jmt8,0,0,0,0,0.0,,,,0.00,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Mar 6,home,Laney,L,11-2,11,2,9,win,20180306_7mbf,0,0,0,0,4.0,7,5,5,11.25,1,2,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Mar 8,home,Marin,L,12-3,12,3,9,win,,,,,,,,,,,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Mar 10,home,Los Medanos,W,17-7,17,7,10,win,20180310_jn2d,0,0,0,0,0.0,,,,0.00,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Mar 17,home,Mendocino,W,7-5,7,5,2,win,,,,,,,,,,,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Mar 18,home,Mendocino,L,4-1,4,1,3,win,20180318_v0cz,0,0,0,0,0.0,,,,0.00,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Mar 19,home,Mendocino,L,14-5,14,5,9,win,20180319_9ch6,0,0,0,0,0.2,4,6,6,81.00,2,1,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Mar 22,home,Contra Costa,W,22-11,22,11,11,win,20180322_xeea,0,1,0,0,4.0,4,3,3,6.75,1,1,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
Mar 23,home,Contra Costa,W,3-2,3,2,1,win,,,,,,,,,,,,,2018,,Solano,solano,connorcaporaleqhc6,Connor Caporale
