date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 31,home,Pasadena,L,9-6,9,6,3,win,20140131_6b6f,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Feb 4,home,Mt. San Jacinto,L,11-2,11,2,9,win,20140204_cugm,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Feb 13,home,Santa Barbara,L,12-7,12,7,5,win,20140213_o4a4,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Feb 15,home,Santa Barbara,L,8-0,8,0,8,win,20140215_wnim,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Feb 22,home,Porterville,L,12-2,12,2,10,win,20140222_kthf,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Mar 4,home,LA Mission,L,9-6,9,6,3,win,20140304_l0zu,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Mar 6,home,Canyons,L,6-1,6,1,5,win,20140306_scjy,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Mar 8,home,Glendale,L,12-3,12,3,9,win,20140308_hyip,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Mar 11,home,Citrus,L,6-5,6,5,1,win,20140311_zm94,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Mar 13,home,Bakersfield,L,7-5,7,5,2,win,20140313_u6tk,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Mar 15,home,LA Valley,W,6-3,6,3,3,win,20140315_tkzf,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Mar 18,home,West LA,L,7-6,7,6,1,win,20140318_2ryl,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Mar 20,home,LA Mission,L,15-0,15,0,15,win,20140320_k4ji,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Mar 29,home,Glendale,L,4-2,4,2,2,win,20140329_mtgg,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Apr 3,home,Citrus,L,7-2,7,2,5,win,20140403_1xby,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Apr 5,home,Citrus,W,9-6,9,6,3,win,20140405_lygp,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Apr 8,home,Bakersfield,L,6-3,6,3,3,win,20140408_kf0d,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Apr 10,home,Bakersfield,L,19-5,19,5,14,win,20140410_vjby,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Apr 11,home,LA Valley,L,9-5,9,5,4,win,20140411_0aqq,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Apr 14,home,El Camino,L,11-6,11,6,5,win,20140414_d8fm,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Apr 15,home,Long Beach,L,10-1,10,1,9,win,20140415_6no7,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Apr 16,home,El Camino,L,16-4,16,4,12,win,20140416_r32t,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
Apr 25,home,West LA,L,8-5,8,5,3,win,20140425_s7ct,0,0,0,0,0.0,,,,0.00,,,2014,,Antelope Valley,antelopevalley,daltonweber72aj,Dalton Weber
