date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Bakersfield,L,7-1,7,1,6,win,20230127_60yl,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Jan 28,home,Bakersfield,L,10-7,10,7,3,win,20230128_cvsa,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Feb 3,home,Ohlone,L,11-3,11,3,8,win,20230203_jiij,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Feb 4,home,Saddleback,L,16-6,16,6,10,win,20230204_sd4p,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Mar 4,home,Allan Hancock,L,6-0,6,0,6,win,20230304_9i7a,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Mar 7,home,LA Pierce,W,11-8,11,8,3,win,20230307_z76o,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Mar 8,home,LA Pierce,W,23-9,23,9,14,win,20230308_nm3d,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Mar 16,home,East Los Angeles,W,10-5,10,5,5,win,20230316_vh2q,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Mar 24,home,Allan Hancock,W,1-0,1,0,1,win,20230324_k3s0,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Mar 25,home,Cuesta,W,4-3,4,3,1,win,20230325_696r,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Mar 25,home,Cuesta,L,11-0,11,0,11,win,20230325_6imh,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
Mar 27,home,Cuesta,L,13-4,13,4,9,win,20230327_h11u,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,Moorpark,moorpark,iancostanzo68a7,Ian Costanzo
