date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Feb 3,home,Barstow,W,10-4,10,4,6,win,20120203_1oyz,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Feb 7,home,Barstow,L,5-3,5,3,2,win,20120207_ks6n,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Feb 9,home,Antelope Valley,W,7-5,7,5,2,win,20120209_z9re,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Feb 10,home,Mt. San Jacinto,W,9-4,9,4,5,win,20120210_fnn1,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Feb 14,home,Compton,W,13-12,13,12,1,win,20120214_ra9v,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Feb 17,home,San Bernardino,L,7-5,7,5,2,win,20120217_efq5,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Feb 21,home,West LA,W,8-2,8,2,6,win,20120221_ao5e,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Feb 23,home,Compton,L,13-5,13,5,8,win,20120223_t30s,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Feb 24,home,El Camino,L,16-3,16,3,13,win,20120224_dr3n,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Feb 29,home,Palomar,L,7-5,7,5,2,win,20120229_rjkr,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 1,home,Grossmont,L,9-5,9,5,4,win,20120301_jxja,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 3,home,Southwestern,W,10-4,10,4,6,win,20120303_lpob,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 6,home,San Diego Mesa,L,4-3,4,3,1,win,20120306_og3e,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 8,home,San Diego City,L,12-5,12,5,7,win,20120308_yort,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 13,home,Palomar,L,10-4,10,4,6,win,20120313_bgs3,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 15,home,Palomar,W,4-1,4,1,3,win,20120315_0zzg,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 15,home,Palomar,W,5-4,5,4,1,win,20120315_80wo,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 20,home,Grossmont,W,11-10,11,10,1,win,20120320_zek0,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 22,home,Grossmont,L,6-5,6,5,1,win,20120322_wr8f,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 24,home,Grossmont,W,3-2,3,2,1,win,20120324_i0km,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 27,home,Southwestern,L,5-2,5,2,3,win,20120327_gesz,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 29,home,Southwestern,L,9-1,9,1,8,win,20120329_q1yt,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Mar 30,home,Southwestern,L,7-3,7,3,4,win,20120330_hjw7,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Apr 3,home,San Diego Mesa,L,10-8,10,8,2,win,20120403_427g,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Apr 5,home,San Diego Mesa,W,7-5,7,5,2,win,20120405_002n,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Apr 6,home,San Diego Mesa,L,4-3,4,3,1,win,20120406_j18n,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Apr 10,home,San Diego City,W,9-2,9,2,7,win,20120410_mndz,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Apr 12,home,San Diego City,L,11-1,11,1,10,win,20120412_980z,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
Apr 14,home,San Diego City,L,14-3,14,3,11,win,20120414_q5pv,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Imperial Valley,imperialvalley,luisbriseno8n0x,Luis Briseno
